fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Jan,17,MADHYA PRADESH,1748,ASHOK NAGAR,2747308,244.829784857572,53,284,2535.497738,6209,0,10465,2577409,454391,29560,272058,15117,707.1096,9552.87224779271,48041,62563,89797,151237,471,145400,538259,16674,6310.26490959971,740262,71,25.79,58.66,99.83,NA
2024-2025,Feb,17,MADHYA PRADESH,1701,MORENA,9861461,244.498483003873,61,372,16669.751970484,4291,2,7866,10982566,1337381,41692,151808,4327,1072.06503,44594.0242653832,179346,192081,240773,302360,1937,322839,405600,12157,26852.2072648992,4482764,15,18.98,55.28,99.82,NA
2024-2025,Feb,17,MADHYA PRADESH,1703,GWALIOR,1533982,242.069701332737,51,166,2210.666232,3078,0,9116,1285176,196954,15475,175258,8461,661.37894,5983.06687648101,25107,30461,51124,82643,137,106317,207136,12194,3111.02170480001,428285,48,31.1,32.94,99.75,NA
2024-2025,Feb,17,MADHYA PRADESH,1705,SHIVPURI,7835547,243.94265246672,49,568,5527.347397,15426,0,32418,6168100,872750,57628,1390239,65674,1284.52361,21858.4977541518,125516,170920,202829,349885,389,319445,590119,47844,15046.6267467998,2500433,79,15.52,40.98,99.88,NA
2024-2025,Feb,17,MADHYA PRADESH,1713,REWA,3198108,212.924116874452,36,213,2877.341689,9037,1,16881,2086136,368710,52222,313839,47097,1656.92986,8976.15820399501,57626,77396,155692,286678,226,251055,476379,25918,4441.88665480001,858308,56,22.74,29.59,100.94,NA
2024-2025,Feb,17,MADHYA PRADESH,1714,SHAHDOL,3379601,214.065133246261,39,1679,3959.781358,9288,1,15566,2800191,360219,37669,1719744,138120,846.41166,10800.4256132538,71318,110714,129006,253115,934,156962,293828,24854,5994.23259529982,1428891,79,19.94,42.12,99.84,NA
2024-2025,Feb,17,MADHYA PRADESH,1724,KHARGONE,5100524,244.792118200242,45,693,7457.40668664797,6543,0,20158,4513544,373517,41721,2515605,186156,1412.18212,19918.3887701479,99390,152590,188855,375436,2924,286409,567991,26701,11048.7999634999,1799022,70,21.97,63.49,99.96,NA
2024-2025,Feb,17,MADHYA PRADESH,1725,KHANDWA,2788072,242.823987208056,35,781,3323.496148,6121,0,12577,2822870,248473,27155,974812,115632,937.68126,11115.7828955801,78758,140723,140441,345239,819,195022,461505,18698,6854.60548770005,1276933,63,19.33,56.87,99.95,NA
2024-2025,Feb,17,MADHYA PRADESH,1727,VIDISHA,2625496,241.349526766968,43,196,2088.582714,9280,0,16952,2161937,305980,31371,310131,13407,1254.98786,8561.39529274699,49419,60820,126497,189470,166,214910,312215,26232,5217.82471849998,698633,70,27.95,28.66,99.93,NA
2024-2025,Feb,17,MADHYA PRADESH,1735,MANDLA,8633282,218.056763998502,39,3772,5399.918759,16909,0,17413,6424688,388208,32896,4027203,269890,1113.96795,20523.3534589911,163297,257953,217106,463094,2404,244575,517472,34322,14009.4667498001,3612335,76,45.02,36.81,99.96,NA
2024-2025,Feb,17,MADHYA PRADESH,1744,KATNI ,4241686,201.164617082266,38,569,2419.605554,6283,0,6357,3318611,527806,48293,1060490,86352,873.75902,9969.23568420597,86326,125270,143191,303616,447,170433,361804,12640,6675.87111059997,1924484,51,16.13,58.99,99.99,NA
2024-2025,Feb,17,MADHYA PRADESH,1745,DINDORI,10076956,211.055954053724,40,1605,8551.369078,11163,0,13247,6427594,211510,14401,3522679,185904,823.30686,22940.4957775469,160568,243004,193586,358051,2518,203096,372266,24410,13565.8198393999,3478860,66,16.77,65.3,99.97,NA
2024-2025,Feb,17,MADHYA PRADESH,1746,ANUPPUR,5073811,198.625633711608,44,1930,3501.21419833699,8549,0,9078,3684452,339670,25253,2224688,146479,653.47354,11472.953872137,82838,126612,129946,263081,1963,157029,310798,17627,7318.266134,1852985,79,53.62,23.88,99.98,NA
2024-2025,Feb,17,MADHYA PRADESH,1747,BURHANPUR,1347487,240.481119710601,37,511,983.8326238,2108,0,4881,1117637,202258,26944,483685,53323,330.59377,4002.13236571997,29425,50280,54456,138735,558,88456,212963,6989,2687.70597189997,546719,64,15.63,62.09,99.92,NA
2024-2025,Feb,17,MADHYA PRADESH,1751,AGAR-MALWA,1804309,241.686330291069,47,301,2046.462872,4059,0,8927,1413202,320369,33452,37852,4335,499.27935,5961.25827551199,29686,44789,60220,128076,216,106429,214327,12986,3415.51605339999,545654,73,46.36,37.43,99.97,NA
2024-2025,Feb,17,MADHYA PRADESH,1702,BHIND,3214875,222.194500061609,17,40,55.74635292,1744,53,7197,348973,51484,20409,2476,202,631.34693,1462.492096,20187,21842,80464,109737,0,161225,265690,8941,775.3988127,138776,36,16.06,35.18,99.76,NA
2024-2025,Feb,17,MADHYA PRADESH,1706,GUNA,2250543,245.768105952094,50,242,3296.442171,5723,0,16319,2687894,312750,31441,497303,54758,919.52794,10821.956284505,53393,72171,123017,263983,430,206232,428087,22042,6605.98617379999,872561,76,22.43,62.51,99.91,NA
2024-2025,Feb,17,MADHYA PRADESH,1712,SATNA,3504731,205.82977369203,43,366,1982.203504,5400,0,13757,2641268,465643,48474,499173,51792,1392.96107,8811.680521,61051,87141,138970,254545,278,206603,380071,19157,5436.515947,1065229,55,19.68,43.88,99.94,NA
2024-2025,Feb,17,MADHYA PRADESH,1714,SHAHDOL,3379601,213.970446587935,39,1691,3962.466476,9319,1,15631,2815235,362898,37666,1728254,138218,846.41166,10832.6490384538,71581,111143,129081,253219,946,157029,293927,24950,6023.77090199985,1436560,79,19.98,42.07,99.84,NA
2024-2025,Feb,17,MADHYA PRADESH,1717,RATLAM,2899310,231.573386229085,43,346,3023.284822,5631,0,13379,2171693,487576,63601,701587,72754,1012.01757,9064.36541105001,50204,78225,109854,238394,713,186728,386832,19010,5029.06301860001,853600,75,31.97,45.54,99.95,NA
2024-2025,Feb,17,MADHYA PRADESH,1718,UJJAIN,2345186,189.290334703609,44,373,1303.581149,4743,0,10499,1944377,629856,58523,112034,12242,1335.52652,6319.625401,43974,66919,75549,175838,250,150253,349263,15242,3680.517731,685538,57,24.08,41,99.88,NA
2024-2025,Feb,17,MADHYA PRADESH,1720,DEWAS,2528330,239.164923559464,45,284,2138.8467,4116,0,10570,1827499,294381,38339,378985,45841,1063.67966,7573.26294663497,40593,56274,101788,205328,480,164222,332781,14686,4370.73658639996,578966,64,31.93,39.1,99.71,NA
2024-2025,Feb,17,MADHYA PRADESH,1726,RAJGARH,6410994,243.954631123752,42,944,6337.032314,15187,0,16186,4084771,526184,58104,101512,10812,1314.39025,17616.410589406,95798,152605,195280,373690,338,275609,511779,31373,9964.98802530001,1637850,73,35,44.45,99.82,NA
2024-2025,Feb,17,MADHYA PRADESH,1739,SHEOPUR,3118832,241.35227384366,50,331,8732.012889,12304,0,16691,3077705,352281,20477,907898,44531,494.18396,16654.307848952,60511,80587,91813,154163,176,160470,263932,28995,7428.111,1231732,80,19.06,33.74,99.87,NA
2024-2025,Feb,17,MADHYA PRADESH,1702,BHIND,3214875,221.429386940998,17,40,55.74635292,1744,53,7208,351206,51744,20413,2508,202,631.34693,1464.766576,20251,21924,80501,109792,0,161247,265730,8952,777.6732927,139675,36,16.04,35.23,99.76,NA
2024-2025,Feb,17,MADHYA PRADESH,1704,DATIA,1153373,245.665068149214,46,100,1431.939946,2169,0,5008,927230,206583,19943,48338,3054,566.33935,4276.15950721496,19852,24845,43885,76811,69,78882,142114,7177,2277.88021139996,321552,43,18.29,50.13,101.5,NA
2024-2025,Feb,17,MADHYA PRADESH,1706,GUNA,2250543,245.545646762222,50,242,3296.442171,5723,0,16451,2709914,315725,31488,505283,54821,919.52794,10870.045968705,53717,72621,123125,264182,440,206272,428154,22174,6654.07585800001,879705,76,22.39,62.42,99.91,NA
2024-2025,Feb,17,MADHYA PRADESH,1707,TIKAMGARH,2391577,243.540973827473,47,132,2688.970375,5437,0,10839,1831577,287880,25560,140950,15634,832.98495,7982.59578712202,38752,55861,87253,155844,128,127782,220962,16276,4460.64046220002,654376,65,22.74,45.89,99.95,NA
2024-2025,Feb,17,MADHYA PRADESH,1712,SATNA,3504731,205.702977822153,43,366,1982.203504,5402,0,13787,2647146,466533,48479,500581,51804,1392.96107,8820.422723,61120,87237,138984,254586,281,206664,380176,19189,5445.258149,1067378,55,19.69,43.83,99.94,NA
2024-2025,Feb,17,MADHYA PRADESH,1715,SIDHI,4234419,229.279000876034,42,289,3162.608884,9812,0,13311,3098024,421474,32115,1007605,63101,853.77234,11119.4996985788,72480,101862,133577,214619,461,160843,250726,23123,7103.11847409976,1411637,67,19.97,37.94,99.93,NA
2024-2025,Feb,17,MADHYA PRADESH,1717,RATLAM,2899310,231.362594323214,43,347,3023.284822,5642,0,13413,2181833,489406,63612,705099,72778,1012.01757,9083.24782505001,50380,78478,109873,238443,720,186765,386932,19055,5047.94543260001,857827,75,32.01,45.44,99.95,NA
2024-2025,Feb,17,MADHYA PRADESH,1721,JHABUA,3691091,231.743709813663,36,1345,4633.431624,7848,0,15281,2927643,112645,16321,2622097,315427,816.53798,12234.598102244,79984,140592,164047,353054,517,210729,441432,23129,6784.62849830002,1310348,75,19.62,60.67,100.04,NA
2024-2025,Feb,17,MADHYA PRADESH,1722,DHAR,4761716,235.72999617358,43,1445,9414.465161,12214,0,25378,5438505,492691,47406,3647547,315750,1678.90329,23913.556078978,124248,196381,223726,465668,2445,308060,638940,37592,12820.18763,2106254,67,17.35,63.59,99.71,NA
2024-2025,Feb,17,MADHYA PRADESH,1728,BHOPAL,1445372,243.44177872485,52,144,2354.414506,2219,0,5636,1231399,172831,11507,41325,3603,475.12234,5827.27647455402,23421,30686,43636,71047,98,69485,113908,7855,2997.73962880001,443535,62,21.53,30.51,99.9,NA
2024-2025,Feb,17,MADHYA PRADESH,1732,NARMADAPURAM,1004398,230.635857739317,37,171,488.7244392,3766,0,9793,758523,136337,19673,230450,32481,936.47171,3174.622176,20498,29319,47652,101434,132,100969,194661,13559,1749.426027,268318,56,25.44,19.13,99.86,NA
2024-2025,Feb,17,MADHYA PRADESH,1734,NARSINGHPUR,1582942,227.750698767837,44,107,1388.429883,6052,1,11010,1495418,262711,28399,271187,30512,993.82187,5788.07669722701,33839,48844,85555,158883,183,145413,256943,17062,3405.82494450001,508697,65,29.13,28.5,99.96,NA
2024-2025,Feb,17,MADHYA PRADESH,1743,HARDA ,663185,236.762728924596,37,137,450.9487892,2368,0,3926,679121,173028,19232,268429,31347,474.44327,2533.297472,18267,29642,32478,74623,226,50251,112885,6294,1607.905412,293793,55,28.84,15.2,99.91,NA
2024-2025,Feb,17,MADHYA PRADESH,1744,KATNI ,4241686,201.32888139076,38,570,2419.605554,6303,0,6371,3345279,532217,48315,1069839,86375,873.75902,10028.377363706,86676,125841,143231,303716,461,170605,362124,12674,6735.01279010001,1941200,51,16.21,58.92,99.98,NA
2024-2025,Feb,17,MADHYA PRADESH,1752,NIWARI,1239141,242.817811196385,45,125,1885.845852,2927,0,4193,881445,100627,7802,78384,7556,306.73338,4332.88468838197,19183,27410,37779,64066,21,47396,79563,7120,2140.30545589997,339814,66,34.94,55.37,99.92,NA
2024-2025,March,17,MADHYA PRADESH,1702,BHIND,3398369,225.989755141296,19,45,60.52324492,1780,43,7619,447115,70546,20788,3039,207,754.17635,1825.133689,22466,24487,81243,110999,1,162506,267632,9399,1010.434094,176720,38,15.32,34.91,100.02,NA
2024-2025,March,17,MADHYA PRADESH,1710,SAGAR,3594671,237.461482767445,45,292,3697.066271,14686,14,17391,3278707,441240,40195,393100,36257,2044.03394,13526.766468456,72020,97953,164420,280998,468,288467,494110,32077,7785.66625780001,992328,75,33.14,29.3,100.55,NA
2024-2025,March,17,MADHYA PRADESH,1714,SHAHDOL,3572499,211.505215003458,42,1851,3983.618878,11015,1,15203,3306970,429899,37810,2013841,139080,1024.71539,12002.7482765539,77280,121184,129866,254728,1315,159367,297419,26218,6994.41400859986,1688080,80,21.52,41.92,99.87,NA
2024-2025,March,17,MADHYA PRADESH,1735,MANDLA,9126043,218.755139676965,48,3739,5402.832649,20357,0,18389,8490878,519327,32993,5373728,271736,1348.45902,25325.5236976917,175569,286138,218534,465741,5302,250527,527424,38746,18574.2320287007,4801221,78,50.65,33.07,99.99,NA
2024-2025,March,17,MADHYA PRADESH,1737,SEONI,7308774,204.336238177088,47,3353,5007.794904,9658,0,16252,6838836,811425,58451,3290736,218177,1727.06444,20709.0795617305,144066,246664,197111,470983,2286,224438,529957,25910,13974.2202175005,3945968,67,38.85,39.98,99.94,NA
2024-2025,March,17,MADHYA PRADESH,1738,BALAGHAT,9487630,234.115599261348,42,6567,7548.661162,27989,0,16832,8248029,390573,28441,2510374,131992,2012.09049,28870.6741724538,192810,293924,276986,592491,5207,317839,670323,44821,19309.9225205998,5074691,69,39.38,33.08,100,NA
2024-2025,March,17,MADHYA PRADESH,1750,SINGRAULI,4337646,235.750316739037,47,833,4217.306693,10295,0,10403,3664720,526623,36102,1157538,70538,760.60571,13617.5014103569,76977,112729,124872,219984,860,175045,299449,20698,8639.58900759885,1490930,71,23.38,60.46,99.99,NA
2024-2025,March,17,MADHYA PRADESH,1712,SATNA,3704773,207.878377403634,46,394,1982.832164,7100,0,13292,2999261,532756,48925,569066,52149,1671.08605,9888.73331470801,65048,93117,140156,256742,373,211303,386505,20392,6234.81510090001,1202218,56,19.23,41.58,99.98,NA
2024-2025,March,17,MADHYA PRADESH,1714,SHAHDOL,3572499,211.402532683947,42,1849,3983.618878,11008,1,15182,3300779,429154,37808,2010091,139073,1024.37224,11985.9215222538,77188,121042,129857,254713,1313,159346,297387,26190,6977.93040429985,1684882,80,21.62,41.67,99.87,NA
2024-2025,March,17,MADHYA PRADESH,1723,INDORE,890422,238.251582210675,51,45,444.8863188,2411,0,5669,737386,112509,12073,155615,17114,851.90916,3053.62929080901,14349,18808,37634,73788,89,69293,132929,8080,1756.83381200001,257861,58,46.34,22.65,99.88,NA
2024-2025,March,17,MADHYA PRADESH,1724,KHARGONE,5391643,245.700786144535,48,727,7485.09044114797,8448,0,20121,5010847,437760,42212,2754857,188388,1704.28214,21501.0630526478,104357,160927,191155,379845,3238,289824,573637,28569,12311.6904714998,2007163,71,21.99,61.43,99.97,NA
2024-2025,March,17,MADHYA PRADESH,1726,RAJGARH,6776913,240.03040378099,47,1096,6338.621614,17841,0,16289,5356691,699823,59147,132711,11025,1610.01374,20806.322390706,111757,179255,197874,378731,535,279755,518437,34130,12857.68704,2136227,73,31.03,48.61,99.88,NA
2024-2025,March,17,MADHYA PRADESH,1728,BHOPAL,1527871,242.598216876344,54,148,2354.414506,2787,0,5371,1382456,198310,11843,48174,3720,577.89632,6286.12443085403,25260,33203,44562,72635,123,70651,115510,8158,3353.81360510003,499228,63,21.53,30.85,99.98,NA
2024-2025,March,17,MADHYA PRADESH,1729,SEHORE,1596088,242.740130000092,51,210,1189.658459,8068,0,9677,1609845,351560,31050,216905,20337,1212.30562,6309.70392489998,31112,46814,65550,126191,227,135298,252063,17745,3907.73984579998,556147,61,28.06,26.18,99.95,NA
2024-2025,March,17,MADHYA PRADESH,1731,BETUL,4042273,236.424609701611,40,2543,2433.563136,7520,1,13503,4074498,511136,57130,2155993,211912,1468.04591,13534.72504,100149,156231,168336,399517,1364,215431,491136,21023,9633.11599379997,2157080,58,33.78,51.12,99.99,NA
2024-2025,March,17,MADHYA PRADESH,1732,NARMADAPURAM,1061723,224.135250172527,42,199,489.2244692,5442,0,8745,996952,183159,20077,302248,32970,1104.99467,3828.73999849701,23553,34252,48530,103430,235,102498,197254,14187,2234.52085930001,354560,56,24.16,18.55,99.95,NA
2024-2025,March,17,MADHYA PRADESH,1735,MANDLA,9126043,218.677817381414,48,3734,5402.832649,20313,0,18351,8477001,518897,32991,5363827,271719,1346.65902,25286.8124351917,175474,285899,218517,465707,5270,250420,527260,38664,18537.3207662007,4794177,78,50.63,33.11,99.99,NA
2024-2025,March,17,MADHYA PRADESH,1742,BARWANI,2964666,214.812914412837,36,600,1882.382587,13200,0,13770,2484473,227366,35871,1913814,241746,1066.70881,8286.06025587406,68369,117803,139110,321142,938,210817,466746,26970,5336.96885910006,1055263,80,21.38,50.49,99.76,NA
2024-2025,March,17,MADHYA PRADESH,1749,ALIRAJPUR,3539732,232.628788080856,50,1967,5427.649431,8825,0,10599,3768560,522165,38293,3040114,201996,736.89858,14931.3034670399,74985,122787,109590,252613,2774,145886,321593,19424,8766.75545609992,1322265,73,18.51,71.28,99.92,NA
2024-2025,March,17,MADHYA PRADESH,1705,SHIVPURI,8282775,243.850207650159,53,626,5527.747397,17820,0,35090,7280033,1037414,59239,1695885,69672,1531.21874,24811.3417248521,137255,187598,209444,360403,701,334480,611508,52910,17752.3755875001,2953253,80,16.02,39.81,99.93,NA
2024-2025,March,17,MADHYA PRADESH,1708,CHHATARPUR,4506078,233.731633681324,52,554,4730.868958,14987,1,13541,3795979,607161,54310,215057,16148,1617.93439,15221.207078507,72449,102074,147002,280696,667,229060,424350,28528,8872.403731,1200244,63,36.89,41.37,100.05,NA
2024-2025,March,17,MADHYA PRADESH,1717,RATLAM,3064792,231.647438540848,46,384,3024.515789,7350,0,14479,2570203,598265,65426,846734,73947,1211.12463,10189.44983,55713,87113,111861,243107,961,188460,390031,21829,5953.80941480003,1009337,78,30.53,42.46,100.23,NA
2024-2025,March,17,MADHYA PRADESH,1719,SHAJAPUR,1494585,231.364543577616,49,215,1485.893956,4555,3,6998,1362477,270803,22851,126285,12366,858.02621,5496.20885888699,27778,39482,62355,109623,90,109322,185936,11553,3152.28869239999,474797,65,43.63,24.49,100.03,NA
2024-2025,March,17,MADHYA PRADESH,1725,KHANDWA,2947209,242.801975121219,37,812,3951.352774,7973,0,11785,3096615,271572,27246,1072192,116242,1123.35092,12593.3460758759,81498,145893,141178,346728,1061,196510,464108,19758,7518.64238189994,1399443,64,18.9,55.55,99.97,NA
2024-2025,March,17,MADHYA PRADESH,1728,BHOPAL,1527871,242.551990059706,54,148,2354.414506,2768,0,5383,1379637,197665,11842,48090,3723,577.89632,6278.64782485403,25261,33201,44565,72640,123,70630,115482,8151,3346.33699910003,498324,63,21.55,30.83,99.98,NA
2024-2025,March,17,MADHYA PRADESH,1733,JABALPUR,2509603,227.894829558653,41,604,1599.137431,6546,0,12104,2290700,447639,40863,828096,68117,1348.18815,8167.71244157906,54567,81252,103401,203216,395,155099,298039,18650,5220.38686070006,1034432,62,20.93,46.65,100.02,NA
2024-2025,March,17,MADHYA PRADESH,1734,NARSINGHPUR,1673291,228.421936754869,47,112,1389.550883,6790,1,10535,1669504,295477,28622,304954,30749,1197.50215,6400.56640372701,35233,51058,86292,160307,240,149774,263181,17325,3813.51337100001,566911,64,28.4,26.41,99.99,NA
2024-2025,March,17,MADHYA PRADESH,1736,CHHINDWARA,8598417,226.846325945181,49,4244,8495.882646,20151,1,18569,8131852,1191323,91239,4578497,279739,2052.25312,28994.9432590917,163984,256504,237002,556120,4462,285819,656866,38720,18446.8074932997,4359361,72,23.3,47.87,100.08,NA
2024-2025,March,17,MADHYA PRADESH,1738,BALAGHAT,9487630,234.054092033164,42,6551,7548.661162,27830,0,16763,8201478,388456,28442,2498911,131982,2011.27302,28755.8290480537,192489,293252,276970,592431,5145,317720,670094,44593,19195.8948661997,5044590,69,39.24,33.21,100,NA
2024-2025,March,17,MADHYA PRADESH,1745,DINDORI,10652117,210.298328183474,51,1830,8551.453078,12880,0,13229,8862037,315287,14468,4815892,186764,982.52792,28170.6966521479,171463,269795,194021,359405,5098,204922,375787,26109,18636.7156540009,4885032,66,18.17,66.34,100,NA
2024-2025,March,17,MADHYA PRADESH,1747,BURHANPUR,1424395,240.368719872855,39,544,983.8326238,2370,0,5498,1252774,226781,27202,545175,54026,397.76033,4392.86978051996,31339,53946,55018,140333,716,89424,215001,7868,3011.27682669996,613278,68,15.05,58.8,99.93,NA
2024-2025,March,17,MADHYA PRADESH,1701,MORENA,10424323,244.42646633851,63,386,16671.100670484,4869,3,8205,11632747,1401828,41919,163384,4431,1293.04981,46397.6629106831,183608,196816,245106,307184,2327,324976,408259,13074,28433.5124301991,4755201,16,19.09,55.64,99.86,NA
2024-2025,March,17,MADHYA PRADESH,1708,CHHATARPUR,4506078,234.614892326946,52,547,4730.868958,14548,1,13386,3697954,589595,54136,208091,16073,1602.66239,15009.482143007,71023,99859,146537,279964,633,228109,422929,27934,8675.95079539998,1169996,63,37.02,41.51,100.04,NA
2024-2025,March,17,MADHYA PRADESH,1711,DAMOH,6495551,241.271556626183,57,533,10561.439412586,8577,0,15765,5685938,748920,42784,880618,39628,1196.08353,25476.0740639857,99465,129530,161329,274507,4736,275813,452514,24342,13718.5511213997,2124009,62,30.47,55.39,101.45,NA
2024-2025,March,17,MADHYA PRADESH,1718,UJJAIN,2479042,185.817341523411,47,438,1303.581149,6583,0,9604,2336323,769460,60199,141349,12848,1576.91844,7221.79287735599,49494,76549,77147,180308,391,153724,357916,16187,4341.29328799999,825940,58,24.06,37.42,99.99,NA
2024-2025,March,17,MADHYA PRADESH,1721,JHABUA,3901765,231.564448973328,38,1418,4641.465889,8609,0,15922,3260060,127725,16374,2918923,316881,963.99472,13154.6005841859,84324,148703,164746,354696,633,214023,448003,24531,7549.13997519989,1454731,76,19.45,59.99,100.17,NA
2024-2025,March,17,MADHYA PRADESH,1725,KHANDWA,2947209,242.974793307924,37,810,3944.26099397601,7891,0,11834,3073606,269426,27238,1063832,116213,1122.36192,12534.7107395759,81362,145618,141138,346616,1045,196415,463922,19725,7468.08782559994,1389775,64,19.1,55.24,99.97,NA
2024-2025,March,17,MADHYA PRADESH,1728,BHOPAL,1527871,242.742768869168,54,147,2354.414506,2709,0,5372,1363163,195128,11807,47212,3707,575.47875,6238.87286615402,25022,32882,44443,72445,120,70571,115402,8081,3308.97961040002,492037,62,21.46,30.78,99.98,NA
2024-2025,March,17,MADHYA PRADESH,1730,RAISEN,1741767,237.376787297239,45,231,1843.404643,8338,0,13360,1753729,300644,24115,289661,25441,1255.28346,7261.633661,38178,54568,78549,137037,453,154903,244674,21698,4162.945558,595317,72,37.62,18.55,99.97,NA
2024-2025,March,17,MADHYA PRADESH,1735,MANDLA,9126043,218.123635393637,47,3714,5402.832649,19785,0,17965,8282982,506454,32989,5241701,271628,1334.61834,24804.5924463916,174501,283467,218407,465548,4867,250079,526725,37750,18067.1414574006,4687573,78,50.27,33.53,99.99,NA
2024-2025,March,17,MADHYA PRADESH,1737,SEONI,7308774,205.91554049504,46,3287,5002.337078,9302,0,16349,6672781,790480,58413,3206689,218041,1663.75742,20406.3875606304,142465,242798,196963,470664,2148,224270,529665,25651,13740.2930622004,3853918,66,39.17,40.13,99.94,NA
2024-2025,March,17,MADHYA PRADESH,1739,SHEOPUR,3296847,240.900515974506,53,354,8736.831895,14071,0,18069,3467807,390722,20793,1050737,46840,595.18984,17685.986690752,64773,86787,94520,158555,247,164962,271162,32140,8353.96495600004,1390173,82,18.46,33.89,99.96,NA
2024-2025,March,17,MADHYA PRADESH,1745,DINDORI,10652117,210.315225917871,50,1824,8551.453078,12718,0,13222,8667752,306655,14467,4707236,186721,976.42355,27757.4788289478,171041,268628,193997,359342,4738,204842,375653,25940,18229.6022008008,4776112,66,17.98,66.39,100,NA
2024-2025,March,17,MADHYA PRADESH,1701,MORENA,10424323,244.228434852388,63,386,16671.100670484,4952,3,8225,11714007,1410889,41938,165303,4435,1293.2433,46573.2799250831,184003,197291,245367,307497,2347,325254,408565,13177,28608.9359545991,4789499,16,19.19,55.61,99.86,NA
2024-2025,March,17,MADHYA PRADESH,1702,BHIND,3398369,225.508209025317,19,45,60.52324492,1777,43,7614,438655,69246,20776,3027,207,749.31635,1799.042629,22209,24216,81225,110969,1,162430,267522,9391,989.203034300003,173546,38,15.32,34.72,99.99,NA
2024-2025,March,17,MADHYA PRADESH,1703,GWALIOR,1621538,241.525485491422,53,176,2211.045982,3885,0,8938,1438666,221838,15730,198508,8816,753.36599,6439.15701278101,26903,33007,52084,84289,236,109485,211539,12823,3474.74504110001,481331,50,30.03,32.84,99.8,NA
2024-2025,March,17,MADHYA PRADESH,1705,SHIVPURI,8282775,243.693713889305,53,627,5527.747397,17775,0,35032,7273122,1036664,59236,1692148,69570,1529.27358,24781.1620948521,137157,187462,209338,360250,700,334225,611161,52807,17724.1411175001,2950497,80,16.04,39.85,99.93,NA
2024-2025,March,17,MADHYA PRADESH,1709,PANNA,3684360,230.220929153923,52,406,5013.121164,9066,0,9521,3372918,581430,47650,539515,39731,1117.47849,13895.7628135919,64644,100135,116745,242816,573,167571,336529,18587,7765.1631591999,1325911,65,25.81,57.2,99.95,NA
2024-2025,March,17,MADHYA PRADESH,1710,SAGAR,3594671,238.376815387559,45,288,3691.231231,14500,14,17383,3224631,433575,40141,385962,36228,2044.03394,13422.037856456,71044,96582,164223,280691,454,288408,493991,31883,7686.772686,976112,75,33.08,29.4,100.55,NA
2024-2025,March,17,MADHYA PRADESH,1711,DAMOH,6495551,240.46721873767,57,540,10561.439412586,8607,0,15883,5753499,760356,42901,890102,39699,1208.56089,25605.2793279856,100221,130654,161680,275008,4835,276882,454076,24490,13835.2790253996,2149957,62,30.64,55.12,101.44,NA
2024-2025,March,17,MADHYA PRADESH,1713,REWA,3380647,206.629784011847,38,222,3136.671308,10344,0,17003,2409484,430861,52684,367797,47531,1965.77678,10081.159673335,62707,84563,156887,289016,283,253992,480563,27347,4978.71158500001,976319,57,21.42,27.89,101.2,NA
2024-2025,March,17,MADHYA PRADESH,1727,VIDISHA,2775354,241.504076387794,47,208,2088.708934,12500,0,15422,2498462,365131,31798,351469,13879,1499.40117,9621.99768124699,52720,65278,128270,192279,215,221238,321236,27922,6033.88757699999,800326,71,27.64,27.07,99.96,NA
2024-2025,March,17,MADHYA PRADESH,1732,NARMADAPURAM,1061723,224.474061054111,42,199,489.2244692,5349,0,8816,987714,181646,20068,299517,32939,1103.71243,3810.09862659701,23414,34041,48512,103353,227,102432,197050,14165,2217.16172740001,351300,56,24.2,18.6,99.95,NA
2024-2025,March,17,MADHYA PRADESH,1734,NARSINGHPUR,1673291,228.609948315533,47,112,1389.550883,6752,1,10564,1667619,294876,28622,304678,30747,1197.50215,6399.39596672701,35228,51051,86288,160298,240,149731,263115,17316,3812.34293400001,566378,64,28.43,26.44,99.99,NA
2024-2025,March,17,MADHYA PRADESH,1741,NEEMUCH,1555350,240.329640505611,51,312,1124.531177,4469,0,6251,1317378,137004,14163,105038,10949,513.61445,4804.195438,25814,35572,51304,112238,214,90380,195250,10720,3166.049812,410469,62,25.37,23.67,99.81,NA
2024-2025,March,17,MADHYA PRADESH,1744,KATNI ,4483791,201.367302964363,44,610,2419.605554,7313,0,6371,4091874,652723,48441,1332867,86680,1046.35617,11705.658038106,92758,136912,143698,304780,888,172245,364925,13684,8239.696315,2402610,51,21.92,55.46,100,NA
