fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,17,MADHYA PRADESH,1747,BURHANPUR,1172571,240.292376839323,34,469,969.2695938,1988,0,4217,941717,171428,26733,408598,52735,292.6652,3524.80895621997,27342,46213,54065,137496,394,87989,211712,6205,2262.87416239997,461626,60,16.7,64.98,99.87,NA
2024-2025,Dec,17,MADHYA PRADESH,1752,NIWARI,1078289,245.587023524123,43,118,1790.347105,2653,0,3941,743322,82266,7639,65549,7496,278.4199,3894.26938043998,17244,24637,37335,63428,11,46304,78051,6594,1825.50237499998,289230,63,36.48,54.97,99.92,NA
2024-2025,Nov,17,MADHYA PRADESH,1707,TIKAMGARH,1925653,246.00445141933,40,110,2026.074725,4408,1,10688,1344506,195569,24756,101544,15397,649.90361,5983.52294489798,32879,46892,85852,153159,38,126044,217773,15096,3307.54460959998,489028,63,23.18,50.52,99.94,NA
2024-2025,Nov,17,MADHYA PRADESH,1712,SATNA,2821942,204.182822652535,37,314,1776.816222,4512,0,13519,1997869,341949,47745,374671,51097,1112.02252,6968.14405918498,52898,75166,136841,250664,142,203689,374881,18031,4079.30531709998,817947,54,20.17,49.87,99.94,NA
2024-2025,Nov,17,MADHYA PRADESH,1715,SIDHI,3409473,231.124176974535,37,234,2391.602652,7126,0,14226,2306490,302190,31538,740832,61934,682.96423,8405.42291189294,60912,85258,131155,211248,215,157202,245890,21352,5330.85602949994,1055826,67,19.55,39.67,99.92,NA
2024-2025,Nov,17,MADHYA PRADESH,1732,NARMADAPURAM,808722,229.829567943654,29,117,450.8212613,2562,4,8739,443831,67891,18601,136185,31302,740.88981,2211.765941,14919,20785,45515,96513,52,99574,191248,11301,1020.05487,154910,49,33.83,26.71,99.73,NA
2024-2025,Nov,17,MADHYA PRADESH,1739,SHEOPUR,2511224,242.672865078341,43,268,8380.784648,7915,0,19663,2059106,242251,19925,587603,40155,393.54164,13771.217812852,47615,62617,87537,146952,67,156041,256447,27578,4996.89152520002,814652,80,19.83,31.8,99.91,NA
2024-2025,Nov,17,MADHYA PRADESH,1741,NEEMUCH,1184719,241.006394710748,43,295,999.4025331,2806,0,5045,883452,80280,13198,61901,10277,341.06887,3469.64721730599,20449,27210,49424,107248,71,88959,191849,7851,2129.17581419999,274174,51,26.91,26.35,99.43,NA
2024-2025,Nov,17,MADHYA PRADESH,1742,BARWANI,2258201,215.995775572531,28,442,1691.15353,8602,0,12522,1384777,124989,34604,1059687,234411,704.74069,5386.95404068902,49104,82660,134839,310868,330,204947,455254,21124,2991.05982110002,590582,77,26.25,57.68,99.59,NA
2024-2025,Nov,17,MADHYA PRADESH,1749,ALIRAJPUR,2696233,231.960689809358,43,1632,4735.977775,7247,0,10223,2703863,379602,37708,2176708,197469,484.90628,11492.783321165,61803,99861,106761,247284,1759,134893,302557,17470,6271.89926630001,949988,74,20.81,69.17,99.87,NA
2024-2025,Nov,17,MADHYA PRADESH,1751,AGAR-MALWA,1452794,243.316017957851,41,239,1861.851235,3328,0,7048,991544,209304,32167,26615,4057,399.92834,4674.36495254499,23918,35483,58546,124312,96,104850,211347,10376,2412.58537709999,385739,68,49.54,39.64,99.95,NA
2024-2025,Nov,17,MADHYA PRADESH,1720,DEWAS,2035763,241.443694869045,39,238,1953.43409924601,3545,0,7829,1334391,194081,36995,264145,43995,840.55715,6015.794184,33403,45895,99427,199457,337,162164,326984,11374,3221.80293439999,419503,55,33.51,42.34,99.72,NA
2024-2025,Nov,17,MADHYA PRADESH,1725,KHANDWA,2244903,243.102072693172,30,687,3272.634814,5107,0,9891,2128453,180553,26861,719829,114643,739.2398,9186.18797317999,70149,124558,139288,342248,326,193737,458332,14998,5174.31335929999,967696,55,20.5,60.95,99.9,NA
2024-2025,Nov,17,MADHYA PRADESH,1728,BHOPAL,1163786,245.906766213637,46,112,2160.907894,1661,2,4931,870209,111091,10737,24818,3289,379.73304,4680.54374549803,18854,24600,41256,67169,33,67073,109952,6592,2139.90281120003,312960,58,22.71,32.19,99.97,NA
2024-2025,Nov,17,MADHYA PRADESH,1729,SEHORE,1215748,244.192283374484,42,156,1070.06564,3717,0,9646,1027926,191534,28313,119891,18655,802.57678,4382.758391,23970,35516,61404,116983,110,130392,242021,13363,2510.115971,366883,55,34.55,34.87,99.96,NA
2024-2025,Nov,17,MADHYA PRADESH,1732,NARMADAPURAM,808722,230.467481095382,30,121,450.8212613,2906,4,8545,455841,70708,18675,139646,31364,740.88981,2242.276342,15091,21055,45610,96733,61,99624,191401,11451,1050.565271,159014,50,33.31,26.23,99.84,NA
2024-2025,Nov,17,MADHYA PRADESH,1735,MANDLA,6951353,219.147442372136,26,2675,4931.780868,12665,0,18762,3308816,214972,32563,2012915,265994,895.15493,13078.121434651,124066,182297,215462,457184,491,240773,508105,31427,7251.185637,1818291,77,32.25,45.44,99.98,NA
2024-2025,Nov,17,MADHYA PRADESH,1736,CHHINDWARA,6549456,228.361539438366,36,3323,7818.571382,12370,7,21044,4769759,685986,89305,2623556,274499,1354.60244,20065.468901998,131023,194555,232464,544166,1251,280924,645055,33414,10892.29508,2532018,71,23.63,48.9,100.1,NA
2024-2025,Nov,17,MADHYA PRADESH,1741,NEEMUCH,1184719,240.525675061994,43,295,999.4025331,2853,0,5058,889185,80926,13225,62390,10297,341.54165,3479.66240690599,20499,27293,49454,107331,71,88970,191893,7911,2138.71822379999,275813,52,26.91,26.3,99.44,NA
2024-2025,July,17,MADHYA PRADESH,1704,DATIA,543552,247.706393527998,34,73,202.0791163,488,6,5651,535723,117940,19172,21549,2639,219.09929,1748.198529,15335,18697,42095,73777,0,76912,139074,6139,1327.020123,190455,40,20.61,54.57,100.07,NA
2024-2025,July,17,MADHYA PRADESH,1708,CHHATARPUR,2008923,238.144956243085,37,313,421.8981217,4096,1,10592,1711958,226902,51202,83824,14670,521.33994,5020.17969165799,45547,62856,137471,264654,75,214326,402992,14688,4076.94162999999,562551,51,40.72,49.77,99.93,NA
2024-2025,July,17,MADHYA PRADESH,1711,DAMOH,2895880,243.022772585384,42,360,1261.664356,2779,1,15239,3082823,383829,39933,467253,37582,379.5228,9133.14908495691,72578,92972,152596,260374,745,243000,404052,18018,7491.96192849992,1184312,57,21.99,67.23,99.77,NA
2024-2025,July,17,MADHYA PRADESH,1713,REWA,1507176,212.512002927405,29,172,173.0410002,5450,2,18222,1309009,224991,50872,186121,45828,557.55447,3512.396715,44357,59605,152258,279708,40,246839,467834,23672,2781.801244,560226,54,24.34,37.43,100.92,NA
2024-2025,July,17,MADHYA PRADESH,1715,SIDHI,1995561,230.02955191631,33,196,752.5467086,3126,0,15366,1754516,228476,31202,548682,61091,327.91124,5116.36324166896,53116,74460,129472,208981,71,155076,243257,18492,4035.90529309996,803935,65,17.84,44.89,99.87,NA
2024-2025,July,17,MADHYA PRADESH,1726,RAJGARH,3021316,248.516981218769,31,589,787.4020933,6437,6,17226,1956581,228308,56623,46059,10559,513.51724,6163.35537,61731,97006,191176,365187,27,272302,505892,23663,4862.436036,804826,69,39.61,45.03,99.82,NA
